objectid,filename,youtubeid,title,creator,date,description,subject,location,latitude,longitude,source,identifier,type,format,language,rights,rightsstatement
coll001,garryfine.jpg,,Picture of Garryfine Castle,Donworth Family,11/09/1963,Photo of Garryfine Castle,"house, farm","county limerick,ireland",,,donworth collection,pg_9_12_01bl,Image;StillImage,image/jpg,eng,Public domain,
coll002,grave.jpg,,Image of text on grave,,02/10/1990,Photo of text from grave,"text, grave","terlincthun british cemetery, wimille",,,,pg_10_13_01bl,Image;StillImage,image/jpg,eng,Public domain,
coll003,casulty_details.jpg,,Casulty Details,,,Casulty details,"text, ","terlincthun british cemetery, wimille",,,,pg_11_14_02bt,Image;StillImage,image/jpg,eng,public domain,
coll004,Terlincthun_British_Cemetery_Wimille.pdf,,Terlincthun Cemetery,,,Details about cemetery,,"terlincthun british cemetery, wimille",,,,pg_14_15_05bt,,application/pdf,,Public domain,
coll005,thomas_donworth.jpg,,Image of Thomas Donworth,,1912,Photo of Thomas Donworth,thomas donworth,dublin,,,donworth collection,_06bt,,image/jpg,eng,,
coll006,,,,,,,,,,,,,,,,,
coll007,,,,,,,,,,,,,,,,,
coll008,,,,,,,,,,,,,,,,,
coll009,,,,,,,,,,,,,,,,,
coll010,,,,,,,,,,,,,,,,,
coll011,,,,,,,,,,,,,,,,,
coll012,,,,,,,,,,,,,,,,,
coll013,,,,,,,,,,,,,,,,,
